Carpeta,Imagen,Valvula_de_expansion,Compresor,Condensador
HIGH FAULT,19_b5,0.6707651356178101,0.6338538641265485,1.0646880486264565
HIGH FAULT,12_b5,0.4593120377767813,0.1352777602416394,1.2069652786444298
HIGH FAULT,30_b5,0.5521737034647545,1.658648263598637,0.8647650105842142
HIGH FAULT,28_b5,0.5813031580090072,1.4667218838434104,0.8817016443227855
HIGH FAULT,17_b5,0.5905513848959218,0.5198462935764059,1.1433638233506325
HIGH FAULT,44_b5,0.6203213532103239,3.0683394240071675,0.9720853049157392
HIGH FAULT,3_b5,0.5487423491272438,0.516386614190873,2.743103396435159
HIGH FAULT,9_b5,0.8309521298702135,0.4984233090687522,1.9551758180771373
HIGH FAULT,33_b5,0.5998594656943843,2.0023796752480734,0.9189150609320712
HIGH FAULT,32_b5,0.5316451527690129,1.8380175737078963,0.8332609097110292
HIGH FAULT,56_b5,0.9596743257602904,4.308237455584577,1.3552795923402223
HIGH FAULT,23_b5,0.6110006779264183,1.000196000800719,0.992455638951138
HIGH FAULT,35_b5,0.7528623438193853,2.285002153330613,0.9937838500203752
HIGH FAULT,60_b5,0.939269803884405,4.605411809517697,1.167735412777606
HIGH FAULT,16_b5,0.7007129618497494,0.5191718321772649,1.266434665972348
HIGH FAULT,31_b5,0.5889664979503706,1.832456027883563,0.8631621915376563
HIGH FAULT,35_b5,0.7494417684800635,2.321285539555213,0.9887131266030956
HIGH FAULT,3_b5,0.551934653293037,0.4887207445556843,2.744157168936607
HIGH FAULT,51_b5,0.6162863804037152,3.622655938287663,0.9531272376809868
HIGH FAULT,23_b5,0.6102021614860569,1.0207168124779813,1.0084589614475663
HIGH FAULT,24_b5,0.6299330282867379,1.1515166984091991,1.0192320447617509
HIGH FAULT,9_b5,0.8272854552560825,0.480732491134474,1.9543131908028424
HIGH FAULT,57_b5,0.7007969634524354,4.206091665604038,1.0634006483946885
HIGH FAULT,55_b5,0.6199593904359576,3.99364750921289,1.055163334587263
HIGH FAULT,49_b5,0.557756330382898,3.4414413123498004,0.9313096834190772
HIGH FAULT,3_b5,0.5511051835354657,0.5199706670031929,2.747237415658736
HIGH FAULT,44_b5,0.6220260232908299,3.0742727512394854,0.9698604340306956
HIGH FAULT,44_b5,0.6218668261619239,3.036630891835186,0.970041978326496
HIGH FAULT,53_b5,0.719416564778784,3.827939566797488,1.0918809164924392
HIGH FAULT,41_b5,0.4876772299179824,2.697882965750717,0.7979096763726784
HIGH FAULT,9_b5,0.8302554913205481,0.4886675285100462,1.946906605376855
HIGH FAULT,13_b5,0.7383205164819573,0.4402957205631427,1.4580852386801375
HIGH FAULT,2_b5,0.020516329866809,0.1500605383826927,0.5325728829815908
HIGH FAULT,29_b5,0.5590045761827955,1.571099219407208,0.8746377679009554
HIGH FAULT,2_b5,0.0204590460928114,0.1133988770805372,0.5389072608625216
HIGH FAULT,57_b5,0.6995557741010413,4.199489627434059,1.0664004795616042
HIGH FAULT,17_b5,0.5904296330739643,0.512023281085328,1.1392517620190217
HIGH FAULT,29_b5,0.5616822854263743,1.570271544962911,0.8805568212082561
HIGH FAULT,60_b5,0.9433025586083786,4.6316489543367085,1.1788682291775792
HIGH FAULT,24_b5,0.6270736097795121,1.150803408070232,1.023325684338536
HIGH FAULT,54_b5,0.5198897070386036,3.7782585545411287,0.88807640518431
HIGH FAULT,17_b5,0.5936271294820653,0.5198943988252297,1.1411349034672738
HIGH FAULT,18_b5,0.6890168750981593,0.6266878858298027,1.182650014547736
HIGH FAULT,6_b5,0.9420012810039392,0.5363328474013266,2.4845372242593182
HIGH FAULT,33_b5,0.6001718091034147,1.996853368761436,0.9173943332686731
HIGH FAULT,17_b5,0.5900377671457729,0.482391122118504,1.1382922369862678
HIGH FAULT,23_b5,0.6086614938398448,0.9999961740251394,1.0079244244484986
HIGH FAULT,56_b5,0.9604848869292056,4.359855688695837,1.3455331349163258
HIGH FAULT,31_b5,0.5887154629963348,1.802177928100378,0.8797605709185883
HIGH FAULT,57_b5,0.6987970410752516,4.219746560102013,1.0686390693179957
HIGH FAULT,13_b5,0.7402519182026432,0.487519966258826,1.4476696910695777
HIGH FAULT,17_b5,0.5921563734695942,0.5127323655075375,1.1360760223732198
HIGH FAULT,59_b5,0.6301631615359512,4.2099462173383575,0.941046360111826
HIGH FAULT,23_b5,0.6105681893588245,0.9919988308097866,1.002697573333159
HIGH FAULT,39_b5,0.3397525126993669,2.310431236696023,0.6001659171442306
LOW FAULT,39_b1,0.3781714501902096,1.841434436052902,0.4984254186256515
LOW FAULT,52_b1,0.3690233188645024,2.9632425430776737,0.5748884791026153
LOW FAULT,29_b1,0.3445270952325764,0.7670496176446835,0.3507466422655948
LOW FAULT,15_b1,0.6502274280646242,-0.0925900859945251,0.7113257041567236
LOW FAULT,43_b1,0.1902377474010451,2.05598172277858,0.3750690026389376
LOW FAULT,8_b1,1.0882133765763953,-0.0143985393560051,1.592337097629694
LOW FAULT,21_b1,0.4220325936039232,0.161345195799934,0.4901613793984643
LOW FAULT,39_b1,0.3769379542792123,1.8558119009752356,0.4956272523968013
LOW FAULT,58_b1,0.2229895168444949,3.2091230300697147,0.4214034266789931
LOW FAULT,19_b1,0.518209882196264,-0.0279187772877174,0.5157344722782224
LOW FAULT,23_b1,0.509218190109003,0.3832238870769768,0.5986197307729668
LOW FAULT,11_b1,1.0307854682146416,0.0497424167612256,1.2316708253159914
LOW FAULT,11_b1,1.0297557228662737,0.0560553135811193,1.225276414237227
LOW FAULT,24_b1,0.499996687063692,0.5162835500785982,0.6219203216451792
LOW FAULT,53_b1,0.6680128561006535,3.380194009110149,0.9304160842120858
LOW FAULT,36_b1,0.1707765546216678,1.3450993654128365,0.2642890670409891
LOW FAULT,40_b1,0.4241771341413678,2.0081909287404907,0.5715779712481397
LOW FAULT,24_b1,0.50409372098611,0.5100460824357509,0.6097839728050831
LOW FAULT,3_b1,0.8220372610772542,0.014598826031915,2.0212198870067444
LOW FAULT,22_b1,0.4823186774663345,0.2211112780582552,0.5795480800199485
LOW FAULT,53_b1,0.67080225822733,3.374826883439028,0.9374079918121128
LOW FAULT,2_b1,-0.0508431786173767,-0.1244928722336685,0.0614632838731765
LOW FAULT,24_b1,0.5034813083927779,0.5152355715220908,0.6263546918247134
LOW FAULT,44_b1,0.3309471094869073,2.3210128301734674,0.5101782018505875
LOW FAULT,30_b1,0.43893113560303,0.948551738462458,0.4673559341706341
LOW FAULT,38_b1,0.3038917146206553,1.636975580449255,0.4033961719950527
LOW FAULT,2_b1,-0.05313299254139,-0.1076987774400557,0.0597332601321722
LOW FAULT,60_b1,0.2705711108468274,3.401601096762497,0.4815382582782093
LOW FAULT,21_b1,0.4224043629957159,0.1387927562183749,0.4886987740601204
LOW FAULT,33_b1,-0.0211905590286294,0.8946787434174195,0.0537892452560205
LOW FAULT,12_b1,0.958996736869248,0.0844475410200896,1.1739297894419072
LOW FAULT,58_b1,0.2173745481504408,3.195916228363592,0.4270460055115626
LOW FAULT,22_b1,0.4806657178801232,0.2328741260903508,0.5966698671558542
LOW FAULT,44_b1,0.3358766258046791,2.327391435127669,0.5123276041939853
LOW FAULT,25_b1,0.5884503771263017,0.7590313631862007,0.7201978474413006
LOW FAULT,49_b1,0.3499914318975318,2.7248945515275653,0.596865123662937
LOW FAULT,27_b1,0.3266206228130976,0.5369000789552151,0.3145005008856646
LOW FAULT,59_b1,0.4888081713947491,3.611707543521959,0.7613943801260207
LOW FAULT,42_b1,0.2880174615939358,2.032762506039839,0.473513176305286
LOW FAULT,28_b1,0.2925147890585099,0.5928846530385181,0.3317018263211158
LOW FAULT,60_b1,0.2746880154265552,3.4065488125061383,0.4764197248783303
LOW FAULT,16_b1,0.5581778111249274,-0.056474535547416,0.603227546844488
LOW FAULT,15_b1,0.6522354607214692,-0.0921500022184639,0.7225438243938398
LOW FAULT,47_b1,0.2296049948718755,2.448432592416289,0.4228121235675939
LOW FAULT,51_b1,0.375120323215637,2.9545098057202046,0.6893066250789269
LOW FAULT,44_b1,0.3305035793438385,2.310734756283508,0.5066241299650409
LOW FAULT,55_b1,0.4778531712465494,3.353028511288608,0.7413057173723109
LOW FAULT,52_b1,0.3728368566684173,2.9649458557498862,0.5710943843338476
LOW FAULT,57_b1,0.8810654077301375,3.7818542470492273,1.088842645984659
LOW FAULT,3_b1,0.8194848348884252,-0.0022558850064976,2.024280326597927
LOW FAULT,37_b1,0.2568076958193173,1.573302369640816,0.3567677256465761
LOW FAULT,51_b1,0.3787472890723725,2.924889406816041,0.6783273005664812
LOW FAULT,7_b1,0.9008746009589156,-0.2376226736685915,1.4841336612480591
LOW FAULT,21_b1,0.4173941489865497,0.1411628040210408,0.4943971401579198
LOW FAULT,9_b1,0.8691224298473652,-0.1572905389786069,1.2578209559801423
LOW FAULT,39_b1,0.3796432044558638,1.8440535862685803,0.4812497007424627
LOW FAULT,18_b1,0.530795594516951,-0.0234828688060968,0.5451176361200747
LOW FAULT,4_b1,1.4088943915377747,0.2870889751852297,2.521775810959672
LOW FAULT,25_b1,0.593262427665734,0.7499561579072915,0.7250204178778402
LOW FAULT,60_b1,0.2691575995258295,3.4055095351145512,0.4809838887417463
LOW FAULT,5_b2,1.4422162386649633,0.3257964675164382,2.399906849390515
LOW FAULT,1_b2,0.0030491074710418,-0.0154491902824829,-0.0008440459231129
LOW FAULT,50_b2,0.2877719930851843,2.7411456611857794,0.4904603343751158
LOW FAULT,22_b2,0.4829955434890823,0.2427624473091923,0.5771516645815599
LOW FAULT,59_b2,0.4934955514743343,3.5988981125972823,0.7733572050678126
LOW FAULT,17_b2,0.4628897178197296,-0.2339298376879692,0.4494638129250781
LOW FAULT,52_b2,0.367748670420283,2.9747725490805546,0.5615657084014894
LOW FAULT,18_b2,0.528360272889812,-0.0427222693455923,0.552988931296716
LOW FAULT,60_b2,0.2727702768926702,3.38500851583914,0.4740336109481958
LOW FAULT,28_b2,0.2965647337143358,0.6116124720812872,0.3214217135773465
LOW FAULT,3_b2,0.8255349999645557,0.008187646233055,2.0182705965175054
LOW FAULT,47_b2,0.2390587466580812,2.4737203050285377,0.4210157023716169
LOW FAULT,31_b2,0.0470636993315762,0.7462919263257684,0.1127856147022058
LOW FAULT,24_b2,0.5050429312046476,0.5078138797642343,0.6163478611921673
LOW FAULT,1_b2,0.0070626746137535,0.0200835112601658,6.292849768391797e-05
LOW FAULT,36_b2,0.1722995253336879,1.322540556644234,0.276361683810304
LOW FAULT,51_b2,0.3818083663994869,2.971017647269332,0.6728939311331351
LOW FAULT,60_b2,0.2717091234906233,3.400036537516247,0.4810826816368234
LOW FAULT,12_b2,0.954704067852248,0.0762139072838753,1.1836440105605184
LOW FAULT,26_b2,0.3679501181776183,0.4668261469570392,0.3830479431125383
LOW FAULT,2_b2,-0.0471969766426544,-0.1107048349527603,0.0655789159217834
LOW FAULT,48_b2,0.1766812474479665,2.4523936462168527,0.3554897779194496
LOW FAULT,35_b2,0.0534337728681702,1.19105705176959,0.1747666812820684
LOW FAULT,12_b2,0.967984733398306,0.0653936415596489,1.1775962411898588
LOW FAULT,3_b2,0.819006668390977,0.0073574696736612,2.019283600951435
LOW FAULT,36_b2,0.1692245538735085,1.3422663525892071,0.268324888039491
LOW FAULT,54_b2,0.5465710574305142,3.349239539649138,0.7782619496346361
LOW FAULT,5_b2,1.4401668474159488,0.2992088109605987,2.399134993922878
LOW FAULT,37_b2,0.256672249201289,1.5376221295677588,0.3430154278776002
LOW FAULT,49_b2,0.3511743738010224,2.7309069655778244,0.5922194272520996
LOW FAULT,54_b2,0.5464565187660974,3.348829147003119,0.7801585481719192
LOW FAULT,13_b2,0.6006793789829742,-0.1878833152415014,0.7462594696186073
LOW FAULT,25_b2,0.5862992518992144,0.7202924063070205,0.7239567233409717
LOW FAULT,48_b2,0.1741476928685263,2.4440803575698498,0.3482843866844828
LOW FAULT,33_b2,-0.0215819477513595,0.9143023017975496,0.0672083809355054
LOW FAULT,11_b2,1.033038825182306,0.0599954568547178,1.224662677889602
LOW FAULT,49_b2,0.3526301610181946,2.715794176151513,0.6044797513707898
LOW FAULT,10_b2,0.9965952311395274,-0.0231210679176982,1.3259406309262087
LOW FAULT,35_b2,0.0525618617210342,1.1881973243315718,0.1687545028508535
LOW FAULT,49_b2,0.3477113644409328,2.720795190406736,0.609864637663313
LOW FAULT,53_b2,0.6703347220738389,3.35944726206082,0.93206263734762
LOW FAULT,5_b2,1.4388711131291665,0.3228190815640724,2.4033345320479422
LOW FAULT,57_b2,0.8793239344041025,3.781678706062576,1.0971035478389684
LOW FAULT,29_b2,0.3359542865016072,0.7653993851067517,0.3553970587463436
LOW FAULT,10_b2,0.9990291868928528,-0.0045321378895026,1.309786749999105
LOW FAULT,8_b2,1.0879167639669154,-0.0218762120924064,1.5884625893317157
LOW FAULT,21_b2,0.4127597443967252,0.1376126889615843,0.4825876458800603
LOW FAULT,48_b2,0.169798969897115,2.454570626536526,0.3455442480250645
LOW FAULT,41_b2,0.1634848011707551,1.883861628180419,0.3808597287860724
LOW FAULT,54_b2,0.5467696926677702,3.34440490160408,0.786418549531975
LOW FAULT,33_b2,-0.0243016940439998,0.8897622647094465,0.0734645479664806
LOW FAULT,4_b2,1.4089714536868003,0.2602333697616548,2.532348803424024
LOW FAULT,35_b2,0.0507152922941562,1.1948214623918367,0.1688838674695559
LOW FAULT,42_b2,0.2875098224353932,2.0366024246064227,0.4712101667438433
LOW FAULT,44_b2,0.3248259517728653,2.309334737882297,0.5039661508669514
LOW FAULT,26_b2,0.3691808226068092,0.4737627304717566,0.3786072602318325
LOW FAULT,30_b2,0.4379410024689119,0.9351211723454776,0.4650322021002029
LOW FAULT,49_b2,0.3561309980640437,2.719611947259016,0.5909927745473036
LOW FAULT,55_b2,0.4794227977256668,3.365132912377038,0.740036387418861
LOW FAULT,59_b2,0.4929735066088237,3.593348215974283,0.7636626243129315
LOW FAULT,21_b3,0.4224109035003789,0.1207831446734012,0.4840041983213895
LOW FAULT,36_b3,0.1656869599716705,1.345945731797197,0.2651060073682689
LOW FAULT,50_b3,0.2939212036011007,2.736732104633908,0.4980261532187432
LOW FAULT,46_b3,0.0179771242329968,2.231423977737969,0.2657733218909466
LOW FAULT,60_b3,0.2717899327334211,3.4191672773107555,0.4865654549383461
LOW FAULT,4_b3,1.4103240492918947,0.2710259061946565,2.518951550263858
LOW FAULT,33_b3,-0.0212968477714073,0.8970113200945994,0.0665252390204779
LOW FAULT,21_b3,0.4190834886713221,0.1352433034765369,0.4970482152983811
LOW FAULT,4_b3,1.4107842466938565,0.2773124384646475,2.516398098317783
LOW FAULT,48_b3,0.1660718212804699,2.4347743244688718,0.3402042612215928
LOW FAULT,43_b3,0.1873323484854056,2.075370297189293,0.3861022909758926
LOW FAULT,57_b3,0.8796712370232495,3.7834757236385967,1.09576364823852
LOW FAULT,24_b3,0.5027356347582925,0.498775150404667,0.623248560192405
LOW FAULT,56_b3,0.7190765818838775,3.574658033393606,0.9082660820489252
LOW FAULT,23_b3,0.5110161693505211,0.381719044708542,0.5850855536403771
LOW FAULT,26_b3,0.3706434722928212,0.4458836256101412,0.3635625186253876
LOW FAULT,4_b3,1.4028422237222842,0.2649187781989555,2.5155054144507933
LOW FAULT,8_b3,1.0906602324502803,-0.0197072014790202,1.5924972620754512
LOW FAULT,4_b3,1.4011892313487613,0.2704285159964839,2.5083143996830044
LOW FAULT,36_b3,0.1669999012999584,1.340868074275384,0.2701370081236167
LOW FAULT,39_b3,0.3799672992089216,1.857373040364362,0.4938188794729911
LOW FAULT,46_b3,0.0082896053382819,2.2486155961207754,0.2653660622244103
LOW FAULT,54_b3,0.5487257767880234,3.3888642834363343,0.7802427313687958
LOW FAULT,37_b3,0.2626021394954989,1.5367025089977349,0.3552946597982646
LOW FAULT,54_b3,0.5450213601024555,3.360768348845368,0.7885505277069103
LOW FAULT,58_b3,0.2179058878541529,3.1971376526455564,0.4195273077191421
LOW FAULT,2_b3,-0.052608678532645,-0.0910131299734767,0.0633612761159545
LOW FAULT,15_b3,0.6526437576904527,-0.0948901496467345,0.7252308576946365
LOW FAULT,57_b3,0.8796105505519143,3.800756300540339,1.0917202758706923
LOW FAULT,40_b3,0.4193519685853872,2.008986335235171,0.574735369811113
LOW FAULT,37_b3,0.2585157445133783,1.5372302581456754,0.3499206897370445
LOW FAULT,30_b3,0.4384663493053951,0.9403118149626876,0.4549115968488347
LOW FAULT,22_b3,0.4833084373052827,0.245242174163252,0.5899987967681789
LOW FAULT,20_b3,0.660313559949467,0.1819793366704816,0.6386606381734677
LOW FAULT,33_b3,-0.0198149508203008,0.8905238810661292,0.0699099921535563
LOW FAULT,11_b3,1.0318948835252677,0.0441112960287994,1.2337014626294582
LOW FAULT,37_b3,0.2602860481233587,1.5263508640864991,0.3524742323448544
LOW FAULT,42_b3,0.2843647536267419,2.031217026085937,0.4859935522019541
LOW FAULT,32_b3,-0.0813284806174583,0.6887811094775305,-0.0738174187603392
LOW FAULT,19_b3,0.5231705839801492,-0.0077758610656407,0.53329842926522
LOW FAULT,9_b3,0.8712203173358816,-0.1308104215795274,1.2590935486117416
LOW FAULT,30_b3,0.4391200208193969,0.9454038968637664,0.4496359182646341
LOW FAULT,9_b3,0.872922372375768,-0.1423934817148604,1.2625753654891774
LOW FAULT,11_b3,1.029673177259811,0.0485431590465607,1.2312961308629498
LOW FAULT,23_b3,0.5055579514738953,0.4047459568575473,0.5856642007018704
LOW FAULT,59_b3,0.4940552392380543,3.61935006811602,0.766617216643099
LOW FAULT,51_b3,0.3788264389561333,2.939840877923509,0.6839487018831025
LOW FAULT,17_b3,0.4651399276588889,-0.1883119460452748,0.4542254293657817
LOW FAULT,52_b3,0.3658797514679755,2.93808982564901,0.5592390052669767
LOW FAULT,53_b3,0.6663589194435167,3.3713257802615417,0.9486890268880392
LOW FAULT,9_b3,0.8638550035267146,-0.1426897114840406,1.2653824517594536
LOW FAULT,52_b3,0.3664620839834278,2.956982285977815,0.5779759604519511
LOW FAULT,51_b3,0.3755823021816544,2.9390046150900284,0.6890593808185407
LOW FAULT,19_b3,0.5320869809563501,-0.00459882828484,0.519754779126551
LOW FAULT,29_b3,0.3408877160393435,0.7768375009982135,0.3555726835209961
LOW FAULT,30_b3,0.445986809181936,0.9424443789303896,0.4577675688603836
LOW FAULT,2_b3,-0.05044316496754,-0.110180128030525,0.0604022062110711
LOW FAULT,13_b3,0.6041920287839525,-0.2010787874973516,0.7486676436510433
LOW FAULT,3_b3,0.8202758947374902,-0.0021994025823602,2.0112922870192658
LOW FAULT,12_b3,0.955374476280114,0.0675701395399482,1.1717544207074757
LOW FAULT,12_b4,0.958604995638584,0.0468200201941555,1.1899602036032904
LOW FAULT,31_b4,0.0450158270192889,0.7374096134492819,0.1054404642967849
LOW FAULT,4_b4,1.41619322115413,0.2752685265655087,2.5210993285868377
LOW FAULT,33_b4,-0.0165551310268748,0.8850863861974637,0.0576568390290124
LOW FAULT,32_b4,-0.0849585888666104,0.6811801588935479,-0.0734618846683024
LOW FAULT,22_b4,0.4760833137265562,0.2431550995623838,0.5940136993913759
LOW FAULT,36_b4,0.1770654423013156,1.3577532521135487,0.2683787694381697
LOW FAULT,5_b4,1.435190328782589,0.2890501558358448,2.40437685093036
LOW FAULT,58_b4,0.2170338545153826,3.21276860033452,0.4264608539010273
LOW FAULT,57_b4,0.8770287705230022,3.777302717376149,1.0937996836129698
LOW FAULT,16_b4,0.5631624762317975,-0.0640750501167205,0.6184203041441853
LOW FAULT,2_b4,-0.0520876580197712,-0.085293002939015,0.0599007199942505
LOW FAULT,15_b4,0.6475494800563564,-0.0737580034419406,0.727655811571232
LOW FAULT,54_b4,0.5511947939585944,3.370773189792013,0.7938061454167351
LOW FAULT,58_b4,0.2171328032225935,3.191412437737829,0.4233132987205645
LOW FAULT,55_b4,0.4760392980829722,3.377047939580513,0.7416721901612267
LOW FAULT,9_b4,0.8748035154267655,-0.1371223959501393,1.2585868012872536
LOW FAULT,24_b4,0.4956327266406704,0.5129569360345436,0.6301282326968753
LOW FAULT,47_b4,0.2349365980139337,2.4436440365856527,0.4154266371486905
LOW FAULT,9_b4,0.8662933592886998,-0.1292462003513866,1.2601991256237977
LOW FAULT,54_b4,0.547087917230425,3.351819232665153,0.7801024667697415
LOW FAULT,13_b4,0.5995626817926665,-0.2221779713798833,0.7578576059854407
LOW FAULT,35_b4,0.0440987715463592,1.1838672340864165,0.1726761079600772
LOW FAULT,25_b4,0.590467718535016,0.7446218707588144,0.7242739791283205
LOW FAULT,13_b4,0.5967697989459025,-0.205728498582778,0.7588960222973031
LOW FAULT,18_b4,0.5294376621374027,-0.0440244030280526,0.5505070033255149
LOW FAULT,39_b4,0.3777826750872295,1.8430963490033616,0.4791203032356776
LOW FAULT,5_b4,1.440967565880755,0.3142147509738983,2.40751521954086
LOW FAULT,47_b4,0.2318540545629139,2.4524389439294096,0.4163949817015285
LOW FAULT,31_b4,0.0499800701794251,0.720549275494877,0.1056274638377515
LOW FAULT,57_b4,0.8766141334882368,3.7664247009990888,1.0974310798808895
LOW FAULT,15_b4,0.6520586441110857,-0.0788449190677319,0.7213714576788948
LOW FAULT,43_b4,0.1885620133760089,2.0307983430710115,0.3876881695231368
LOW FAULT,37_b4,0.2611294807276813,1.5292140438678037,0.3458847917482801
LOW FAULT,32_b4,-0.0826264043748568,0.6878553875461306,-0.070993574136787
LOW FAULT,23_b4,0.5158418980728661,0.3866974718939773,0.5886601639247667
LOW FAULT,37_b4,0.2568682475767376,1.55356871036675,0.3465930478265395
LOW FAULT,58_b4,0.2257159125552751,3.194211225638836,0.4209480945416661
LOW FAULT,16_b4,0.5586604776795747,-0.0694884707988783,0.608024894685395
LOW FAULT,18_b4,0.5276295093791602,-0.0445377254949356,0.5509860705583969
LOW FAULT,7_b4,0.9028922566825476,-0.240451367013858,1.4825608220303352
LOW FAULT,45_b4,0.2057546585008348,2.2894098367726685,0.4206414822608294
LOW FAULT,43_b4,0.193279004715231,2.0416748084302263,0.3869571659383429
LOW FAULT,12_b4,0.9591541502177002,0.0808233228102179,1.1856303623130549
LOW FAULT,41_b4,0.1580682790825914,1.869564205734248,0.379495959183341
LOW FAULT,9_b4,0.8702389014024983,-0.1452552692189513,1.2616040153363834
LOW FAULT,50_b4,0.2901916325561651,2.732201081618903,0.4974921008357675
LOW FAULT,14_b4,0.6180913850608085,-0.1281201232476196,0.7336164058298684
LOW FAULT,60_b4,0.2688930144850823,3.406609219370231,0.4746505376752492
LOW FAULT,12_b4,0.9628723468708488,0.0670450597966457,1.1864662763199512
LOW FAULT,43_b4,0.1874588215238618,2.034618784887325,0.3770483735455566
LOW FAULT,55_b4,0.4758256105773819,3.3643119308974594,0.7405342968195211
LOW FAULT,17_b4,0.4608536625613951,-0.2258115247682019,0.451856213954604
LOW FAULT,53_b4,0.6674452105013846,3.380159097019336,0.936368023404889
LOW FAULT,58_b4,0.2117249514650528,3.193309566369644,0.4171166390236289
LOW FAULT,25_b4,0.5924525997930449,0.752784613422766,0.7296852367622086
LOW FAULT,48_b4,0.1767775642062078,2.4313301658462243,0.3615007343197118
LOW FAULT,49_b4,0.3488421760227698,2.7180835315071183,0.5978935922095678
LOW FAULT,42_b4,0.2904308278678461,2.0243626522367197,0.4875708043523918
LOW FAULT,32_b4,-0.0862801789060836,0.6914620530812112,-0.0568342762622506
LOW FAULT,6_b5,0.987787001732239,-0.1180915074901969,1.7399914575218196
LOW FAULT,41_b5,0.158782393514733,1.88632781481797,0.3747703745958655
LOW FAULT,53_b5,0.6712862035223126,3.3872375418931404,0.935935514480548
LOW FAULT,59_b5,0.490272571548018,3.590157323572502,0.7593228088483213
LOW FAULT,20_b5,0.6591968567776593,0.227524278806301,0.6489757934761182
LOW FAULT,19_b5,0.5225457752735863,-0.0161585897395415,0.525984876685334
LOW FAULT,12_b5,0.9629874770446932,0.0829928819894535,1.172900879767316
LOW FAULT,30_b5,0.4386734031094982,0.9211641496292116,0.4633522493238337
LOW FAULT,28_b5,0.293646014632091,0.6065555799856004,0.3336434251184624
LOW FAULT,17_b5,0.4598415144131111,-0.1982352747197261,0.4407537049959165
LOW FAULT,44_b5,0.3310869741693888,2.262052721313375,0.5149948105044492
LOW FAULT,3_b5,0.8200543151260655,0.0065905011394111,2.016798819195466
LOW FAULT,9_b5,0.8661476320255233,-0.1560910388298112,1.2575456055947674
LOW FAULT,33_b5,-0.0165538078894511,0.8832229508617739,0.0558604496952887
LOW FAULT,32_b5,-0.078967614513863,0.6394523219299858,-0.0670554157590607
LOW FAULT,56_b5,0.7196016343292954,3.562782694425325,0.9126616069899496
LOW FAULT,23_b5,0.5065553620141154,0.4070901920096558,0.5909975665555521
LOW FAULT,35_b5,0.0490886050614935,1.179020294506955,0.1759482276677304
LOW FAULT,60_b5,0.2758581251957778,3.4232048118945584,0.48059598883976
LOW FAULT,16_b5,0.5587204343691239,-0.0866771135910705,0.6202263109157288
LOW FAULT,31_b5,0.0470117834772611,0.7289934318800284,0.1092828730221138
LOW FAULT,35_b5,0.0487451282168111,1.1922570284530214,0.1737252936065336
LOW FAULT,3_b5,0.8193853037542081,0.0079723279851272,2.016761650947004
LOW FAULT,51_b5,0.3799853230944452,2.963392081508158,0.6758618530180835
LOW FAULT,23_b5,0.5116991676285612,0.3558848845507207,0.5860673653014559
LOW FAULT,24_b5,0.493773537662275,0.4934772563687577,0.6262411450305251
LOW FAULT,9_b5,0.8735555407349901,-0.1665362305694823,1.2637442008428097
LOW FAULT,57_b5,0.8779666057046718,3.788642359705791,1.095063562209016
LOW FAULT,55_b5,0.4824482575743822,3.359709631772733,0.7384840370271822
LOW FAULT,49_b5,0.348826247229559,2.734570376595906,0.6065382949929182
LOW FAULT,3_b5,0.8216897567116372,0.0119335542004225,2.0223119229398763
LOW FAULT,44_b5,0.3288265228176393,2.310832318278646,0.5080950534001467
LOW FAULT,44_b5,0.3335972327210212,2.345541687047763,0.5135287483453899
LOW FAULT,53_b5,0.6655620943766265,3.376176749510124,0.940147549700354
LOW FAULT,41_b5,0.1623278212807573,1.8703087779945489,0.379241096754852
LOW FAULT,9_b5,0.8675801370824846,-0.1677649330220581,1.2624280989472612
LOW FAULT,13_b5,0.5998580772684123,-0.2313043138970981,0.75601943417908
LOW FAULT,2_b5,-0.054921584550701,-0.1144806616882805,0.061355656941082
LOW FAULT,29_b5,0.3451617988111739,0.7902346566866887,0.3473393413955257
LOW FAULT,2_b5,-0.0528506245586083,-0.0930069788071055,0.0586948951849664
LOW FAULT,57_b5,0.8815264119462752,3.7599666153257343,1.0920035559015826
LOW FAULT,17_b5,0.4600259012575249,-0.2152475235779269,0.4461182295024121
LOW FAULT,29_b5,0.3378520621225381,0.7745932692961504,0.3505326656217559
LOW FAULT,60_b5,0.2697463598575507,3.424820857096918,0.47540098894451
LOW FAULT,24_b5,0.4985824834654585,0.5150754124196623,0.6253583695256357
LOW FAULT,54_b5,0.5474272808471562,3.353646356819445,0.7731842813127293
LOW FAULT,17_b5,0.4623838497532041,-0.2049561649582608,0.4546575125047795
LOW FAULT,18_b5,0.5291699849458917,-0.0458929943528702,0.550918299120355
LOW FAULT,6_b5,0.993148229590931,-0.1231842431614366,1.7467594244679596
LOW FAULT,33_b5,-0.0168420153224467,0.905162066684074,0.0602494331143338
LOW FAULT,17_b5,0.4562823671329784,-0.2154503631997313,0.4571742836103353
LOW FAULT,23_b5,0.5109990020004366,0.3742166755711588,0.5910508060526513
LOW FAULT,56_b5,0.7218574527164583,3.559722802825608,0.9181253691669746
LOW FAULT,31_b5,0.0498125723256203,0.7258571586134389,0.1113521141945306
LOW FAULT,57_b5,0.8820762553017104,3.79001064973312,1.084967828542657
LOW FAULT,13_b5,0.5980811547545821,-0.1771110085818913,0.748668532954198
